row_index,institution,query_exact_name,matched_exact_name,score,ein_filled
12243,Friends of Bethany Hamilton Dbathe Beautifullyflawed Foundation,friendsofbethanyhamiltondbathebeautifullyflawedfoundation,friendsofbethanyhamiltonincdbathebeautifullyflawedfoundation,97.43589743589743,320220098
12245,BCR Ministries,bcrministries,abcministries,92.3076923076923,882393286
12246,TW Ministries,twministries,htministries,91.66666666666666,813244828
12247,Together Happy and Forever Foundation Corporation,togetherhappyandforeverfoundationcorporation,togetherhappyandforeverfoundationcorp,91.35802469135803,201622758
12253,Elijahs Retreat,elijahsretreat,elijahsretreatinc,90.32258064516128,371555060
12256,Camp Myrtlewood,campmyrtlewood,campmyrtlewoodinc,90.32258064516128,930461863
12260,Constance Saltonstall Foundation for the Arts,constancesaltonstallfoundationforthearts,constancesaltonstallfoundationfortheartsinc,96.3855421686747,161481219
12261,Constance Saltonstall Foundation for the Arts,constancesaltonstallfoundationforthearts,constancesaltonstallfoundationfortheartsinc,96.3855421686747,161481219
12268,Lincoln Green Foundation,lincolngreenfoundation,lincolngreenfoundationinc,93.61702127659575,364145777
12273,Global Spectrum Foundation,globalspectrumfoundation,globalspectrumfoundationinc,94.11764705882352,421552157
12276,Traditional Redemptorist Missioners,traditionalredemptoristmissioners,traditionalredemptoristmissionersinc,95.65217391304348,880604877
12277,Laurel Lake Baptist Camp,laurellakebaptistcamp,laurellakebaptistcampinc,93.33333333333333,610995335
12283,Wespine Study Center,wespinestudycenter,wespinestudycenterinc,92.3076923076923,431651179
12286,Operation Resolute,operationresolute,operationresoluteinc,91.89189189189189,203577637
12289,Layton Study Center,laytonstudycenter,laytonstudycenterinc,91.89189189189189,391692100
12299,Stillpoint Retreats,stillpointretreats,stillpointretreatsinc,92.3076923076923,030461931
12300,Friends of Pioneer,friendsofpioneer,friendsofpioneerinc,91.42857142857143,852680064
12301,The Koski Family Foundation,thekoskifamilyfoundation,thekwokfamilyfoundation,93.61702127659575,943313684
12313,Energize Ministries,energizeministries,energizeministriesinc,92.3076923076923,270472317
12315,Living River A Retreat on the Cahaba,livingriveraretreatonthecahaba,livingriveraretreatonthecahabainc,95.23809523809523,261568218
12319,Reston Study Center,restonstudycenter,restonstudycenterinc,91.89189189189189,541826300
12320,Eden Invitation,edeninvitation,edeninvitationinc,90.32258064516128,823824255
12321,Eden Invitation,edeninvitation,edeninvitationinc,90.32258064516128,823824255
12324,While Were Are Waiting,whilewerearewaiting,whilewearewaiting,94.44444444444444,454111267
12325,Barren Heights Christian Retreat Center,barrenheightschristianretreatcenter,barrenheightschristianretreatcenterinc,95.89041095890411,320121355
12327,New Hope Oklahoma,newhopeoklahoma,newhopeoklahomainc,90.9090909090909,208416981
12331,Living Waters Ranch,livingwatersranch,livingwaterranch,96.96969696969697,480820690
12332,Copper Basin Bible Camp Church of Christ,copperbasinbiblecampchurchofchrist,copperbasinbiblecampchurchofchristinc,95.77464788732395,860324143
12334,Camp Manna Ministries,campmannaministries,campmannaministriesinc,92.6829268292683,582066174
12335,Camp Manna Ministries,campmannaministries,campmannaministriesinc,92.6829268292683,582066174
12337,Summit Lake Bible Conference,summitlakebibleconference,summitlakebibleconferenceinc,94.33962264150944,237004562
12341,Monroe Camp and Retreat Center,monroecampandretreatcenter,monroecampandretreatcenterinc,94.54545454545455,272794986
12343,FR Bernard Youth Center,frbernardyouthcenter,frbernardyouthcenterinc,93.02325581395348,020658798
12345,Midtown Cultural Center,midtownculturalcenter,midtownculturalcenterinc,93.33333333333333,364093991
12351,Harvest Retreat Drop-In Center,harvestretreatdropincenter,harvestretreatdropincenterinc,94.54545454545455,814348818
12354,New England Fellowship of Evangelicals,newenglandfellowshipofevangelicals,newenglandfellowshipofevangelicalsinc,95.77464788732395,042149334
12356,Growing A New Heart,growinganewheart,growinganewheartinc,91.42857142857143,461274329
12358,Kirkmont Center,kirkmontcenter,kirkmontcenterinc,90.32258064516128,270896003
12366,Seven Ponds Nature Center,sevenpondsnaturecenter,sevenpondsnaturecenterinc,93.61702127659575,382929924
