ein,tax_period,form_type,total_revenue,total_expenses,total_assets_end,total_liabilities_end,net_assets_end,avg_revenue_3yr,avg_expenses_3yr,num_filings_in_3yr
161640051,202312,990,298772,232643,4035612,1380376,2655236,N/A,N/A,1
161646999,202312,990,264884,248935,30594,0,30594,N/A,N/A,1
161680978,202303,990,18768956,18846949,6299806,836221,5463585,N/A,N/A,1
161681181,202312,990,263910,147714,181581,0,181581,N/A,N/A,1
161682810,202312,990,3023692,2161834,37476391,13821005,23655386,N/A,N/A,1
161686824,202312,990,321697,276388,364929,938,363991,N/A,N/A,1
161690199,202312,990,18270088,16027774,19826122,90434,19735688,N/A,N/A,1
161720928,202312,990,337960,361023,806865,450,806415,N/A,N/A,1
161734362,202312,990,740421,902133,783137,7965,775172,N/A,N/A,1
161739329,202312,990,2632849,2570033,2070292,57558,2012734,N/A,N/A,1
161770358,202312,990,277317,236063,246932,0,246932,N/A,N/A,1
161782149,202406,990,221714,243062,440285,2071,438214,N/A,N/A,1
166031585,202305,990,29331740,29864714,35197279,14571014,20626265,N/A,N/A,1
166054295,202306,990,53580545,52422099,65442701,27442544,38000157,N/A,N/A,1
166054331,202312,990,1343811,1606707,3658283,934786,2723497,N/A,N/A,1
200016867,202312,990,398784,472601,208804,2082,206722,N/A,N/A,1
200017849,202401,990,639505,712473,45194,0,45194,N/A,N/A,1
200039573,202312,990,861769,459355,3037185,0,3037185,N/A,N/A,1
200040501,202312,990,1506452,1649698,470091,0,470091,N/A,N/A,1
200066605,202312,990,989679,505639,8085777,3317992,4767785,N/A,N/A,1
200074052,202312,990,546740,253667,474372,1112,473260,N/A,N/A,1
200078855,202307,990,13235860,14901507,7237202,5417838,1819364,N/A,N/A,1
200087201,202312,990,687719,649253,392069,19157,372912,624529.67,586987.0,3
200118718,202312,990,1496338,1456238,314024,23191,290833,N/A,N/A,1
200151437,202308,990,1233565,1271912,2973293,2385576,587717,N/A,N/A,1
200170786,202312,990,2640771,3123546,3651508,130670,3520838,N/A,N/A,1
200179114,202312,990,2466364,2887296,3089527,3014096,75431,N/A,N/A,1
200193560,202312,990,362095,419059,563598,922,562676,N/A,N/A,1
200198107,202312,990,326850,329250,713530,398083,315447,N/A,N/A,1
200222800,202312,990,502324,550970,406534,3475,403059,N/A,N/A,1
200232022,202309,990,1020212,900765,478781,20020,458761,N/A,N/A,1
200239382,202312,990,908312,1001394,815400,105046,710354,956832.0,639331.0,2
200245026,202312,990,1835421,1796819,2374811,144449,2230362,1898174.0,1769719.5,2
200245876,202403,990,1762005,1676028,789792,17973,771819,1467093.0,1586597.0,2
200246317,202312,990,943590,1213160,710027,22552,687475,N/A,N/A,1
200275112,202309,990,366573,359694,708941,212782,496159,N/A,N/A,1
200292184,202401,990,947395,852086,747686,0,747686,N/A,N/A,1
200292435,202312,990,1494663,2150811,250750,70076,180674,N/A,N/A,1
200294578,202312,990,367140,388943,55872,20574,35298,N/A,N/A,1
200320758,202312,990,337388,247073,282113,0,282113,N/A,N/A,1
200334976,202312,990,1641955,1467523,1095431,701730,393701,N/A,N/A,1
200342693,202312,990,353977,344462,52018,298,51720,N/A,N/A,1
200359862,202312,990,1140621,612552,25237124,35500,25201624,N/A,N/A,1
200361728,202309,990,351256,386692,173529,531,172998,N/A,N/A,1
200363127,202306,990,72142356,69420935,114830391,72121942,42708449,N/A,N/A,1
200374962,202312,990,333612,279897,370246,0,370246,N/A,N/A,1
200384485,202312,990,422067,390799,145764,0,145764,N/A,N/A,1
200390549,202312,990,458492,351195,584627,3536,581091,N/A,N/A,1
200391373,202312,990,3325067,3925722,1071944,839657,232287,N/A,N/A,1
200408543,202312,990,404931,356424,56480,0,56480,N/A,N/A,1
200414497,202312,990,267442,281733,157499,1517,155982,N/A,N/A,1
200418002,202312,990,2870599,2705823,21261008,2374500,18886508,N/A,N/A,1
200429293,202312,990,1340145,1326500,34138,0,34138,N/A,N/A,1
200432845,202312,990,2069355,1491737,1300211,12561,1287650,N/A,N/A,1
200445081,202312,990,282758,196669,329966,0,329966,N/A,N/A,1
200460192,202312,990,278326,247929,748867,0,748867,N/A,N/A,1
200461288,202312,990,291288,228643,103037,19419,83618,N/A,N/A,1
200471061,202306,990,9652212,9491293,14613278,9242536,5370742,N/A,N/A,1
200496814,202312,990,4318458,3671374,6684513,2313426,4371087,N/A,N/A,1
200508609,202312,990,913835,916718,384269,8067,376202,N/A,N/A,1
200522081,202312,990,801892,292104,3446495,922250,2524245,N/A,N/A,1
200526917,202312,990,582633,219181,1085431,4263,1081168,N/A,N/A,1
200528131,202312,990,332383,244374,2185570,164711,2020859,N/A,N/A,1
200530608,202312,990,364939,389963,95394,0,95394,N/A,N/A,1
200534476,202312,990,544134,433822,634269,1653,632616,N/A,N/A,1
200539593,202312,990,199753,181768,168280,0,168280,N/A,N/A,1
200546128,202312,990,788129,391455,447906,19722,428184,524458.5,311645.0,2
200555233,202312,990,291691,240659,304962,15472,289490,N/A,N/A,1
200573979,202312,990,853079,914735,1495535,27720,1467815,N/A,N/A,1
200575934,202312,990,945500,952714,1080688,277401,803287,N/A,N/A,1
200587868,202312,990,471022,447769,535017,0,535017,N/A,N/A,1
200612101,202312,990,311064,337817,28844,1609,27235,N/A,N/A,1
200612499,202312,990,1963555,902671,1571414,158819,1412595,N/A,N/A,1
200616399,202304,990,496512,485648,256102,0,256102,N/A,N/A,1
