ein,tax_period,form_type,total_revenue,total_expenses,total_assets_end,total_liabilities_end,net_assets_end,avg_revenue_3yr,avg_expenses_3yr,num_filings_in_3yr
204588239,202312,990,2589618,2383780,4263418,235001,4028417,N/A,N/A,1
204595721,202312,990,3491042,1897335,38508340,85395,38422945,N/A,N/A,1
204601353,202312,990,333649,337090,247102,6879,240223,N/A,N/A,1
204611212,202406,990,1095138,872475,1115097,38898,1076199,N/A,N/A,1
204619337,202312,990,357422,333674,772655,1441,771214,N/A,N/A,1
204627269,202309,990,939402,1128447,777159,54110,723049,N/A,N/A,1
204637382,202312,990,618265,542079,557501,4689,552812,N/A,N/A,1
204667815,202312,990,537077,482632,459993,3070,456923,N/A,N/A,1
204668113,202312,990,797538,746404,2006628,0,2006628,N/A,N/A,1
204689107,202312,990,1106249,777177,486483,8628,477855,N/A,N/A,1
204723348,202312,990,433333,493708,421120,19145,401975,N/A,N/A,1
204725940,202312,990,868809,770216,298453,0,298453,N/A,N/A,1
204729973,202312,990,1141387,654081,1154622,4080,1150542,N/A,N/A,1
204768921,202312,990,3268152,4817610,1300469,150478,1149991,N/A,N/A,1
204801174,202312,990,4538188,1103874,23242792,6008779,17234013,N/A,N/A,1
204826573,202312,990,259578,328620,177213,241265,-64052,N/A,N/A,1
204857233,202312,990,343480,259452,1088593,9986,1078607,N/A,N/A,1
204859019,202312,990,639023,778299,43866,1231093,-1187227,N/A,N/A,1
204866856,202312,990,365576,392770,43655,0,43655,N/A,N/A,1
204868729,202312,990,465233,417501,1087261,553281,533980,N/A,N/A,1
204877938,202312,990,5201707,4086887,12009538,2629591,9379947,N/A,N/A,1
204877982,202306,990,550528,415445,19120043,1570327,17549716,N/A,N/A,1
204881636,202309,990,344998,313509,341954,16750,325204,N/A,N/A,1
204885548,202312,990,586362,570811,69356,12253,57103,N/A,N/A,1
204888540,202312,990,585357,469642,283438,-3438,286876,N/A,N/A,1
204888995,202312,990,623501,554356,356706,14004,342702,N/A,N/A,1
204894998,202312,990,1218951,976946,2937908,22455,2915453,N/A,N/A,1
204897897,202312,990,2018791,1582617,1513983,1801,1512182,N/A,N/A,1
204922863,202312,990,259175,214458,304181,1740,302441,N/A,N/A,1
204958881,202312,990,1330384,1335394,298898,0,298898,N/A,N/A,1
204963036,202312,990,303975,302589,475897,7347,468550,N/A,N/A,1
204967588,202312,990,1028336,1230223,3534652,1291550,2243102,N/A,N/A,1
204980374,202312,990,3707613,3674704,667793,0,667793,N/A,N/A,1
204981268,202312,990,1627379,911447,1143626,0,1143626,N/A,N/A,1
204988389,202312,990,821529,889178,529125,0,529125,N/A,N/A,1
204991169,202312,990,2437881,2029428,1654784,32620,1622164,N/A,N/A,1
204996343,202312,990,674564,536289,783248,11710,771538,N/A,N/A,1
204996463,202406,990,1387749,978857,692424,5865,686559,N/A,N/A,1
205006996,202312,990,345065,243787,520333,2858,517475,N/A,N/A,1
205013990,202312,990,1636741,1524174,935161,345221,589940,N/A,N/A,1
205035650,202312,990,369910,416399,156156,13412,142744,N/A,N/A,1
205074017,202306,990,3919914,3871492,42784382,19426087,23358295,N/A,N/A,1
205074379,202312,990,291837,454416,216588,0,216588,N/A,N/A,1
205093560,202312,990-EZ,177757,161555,31695,0,31695,N/A,N/A,1
205106516,202312,990,497902,497902,497902,0,497902,N/A,N/A,1
205114501,202312,990,342444,465498,182699,13393,169306,N/A,N/A,1
205133038,202406,990,1355909,1371604,4707580,421558,4286022,1229679.5,1274972.5,2
205166310,202312,990,251939,210028,0,0,0,N/A,N/A,1
205202955,202312,990,2627477,2385870,282409,-17,282426,N/A,N/A,1
205239134,202312,990,2022088,1117578,4408517,1478882,2929635,N/A,N/A,1
205248156,202312,990,612707,695585,78044,0,78044,N/A,N/A,1
205248653,202312,990,552629,245853,1374392,3308,1371084,N/A,N/A,1
205254885,202312,990,1682696,1605903,5988747,62267,5926480,N/A,N/A,1
205267020,202312,990,669960,605546,3596772,3596772,0,647664.0,577065.0,2
205288174,202312,990,1864021,1979467,12069977,5456429,6613548,N/A,N/A,1
205289168,202306,990,12143735,12539325,17194105,2834586,14359519,N/A,N/A,1
205294025,202312,990,336641,429353,155481,0,155481,N/A,N/A,1
205294264,202312,990,5357959,5912340,5110040,376535,4733505,N/A,N/A,1
205339412,202403,990,299479,345493,512693,9581,503112,N/A,N/A,1
205341817,202406,990,256186,217373,5532572,0,5532572,N/A,N/A,1
205350994,202309,990,6563036,8871107,2256950,267848,1989102,N/A,N/A,1
205393753,202312,990,2523491,2151320,552663,16843,535820,N/A,N/A,1
205395804,202312,990,264517,175450,588657,1516,587141,N/A,N/A,1
205420256,202312,990,297428,295425,112954,0,112954,N/A,N/A,1
205425332,202406,990,12500657,11735388,12907330,657132,12250198,N/A,N/A,1
205447182,202312,990,262448,241533,69879,3933,65946,N/A,N/A,1
205448454,202312,990,440477,431002,78594,17200,61394,N/A,N/A,1
205476442,202312,990,240017,257974,162182,985,161197,N/A,N/A,1
205485984,202312,990,939394,1397830,8757990,95320,8662670,N/A,N/A,1
205512973,202312,990,807806,879378,311306,274447,36859,N/A,N/A,1
205544147,202312,990,575018,534986,156831,4000,152831,N/A,N/A,1
205545443,202312,990,304265,322124,124423,1534,122889,N/A,N/A,1
205576617,202312,990,723979,884036,228967,184233,44734,764728.0,822729.5,2
205594193,202309,990,760852,1063300,139333,194800,-55467,N/A,N/A,1
205598149,202312,990,1175551,1038665,257486,0,257486,N/A,N/A,1
205601147,202312,990,350694,338769,1169850,49573,1120277,N/A,N/A,1
205610462,202312,990,334842,341823,259851,3850,256001,N/A,N/A,1
205616941,202306,990,5730260,6412736,4763892,767863,3996029,N/A,N/A,1
205648351,202309,990,1107987,996487,693553,41600,651953,N/A,N/A,1
205649582,202312,990,278191,220960,494533,100100,394433,N/A,N/A,1
205655295,202312,990,284098,270637,82162,0,82162,N/A,N/A,1
205677721,202409,990,304922,211165,426477,439,426038,N/A,N/A,1
205678382,202312,990,498871,397861,351639,3244,348395,N/A,N/A,1
205683013,202312,990,1319762,1330957,742409,48644,693765,N/A,N/A,1
205713865,202312,990,411790,357051,285719,17214,268505,N/A,N/A,1
205716023,202312,990,386775,415278,13449,0,13449,N/A,N/A,1
205721050,202312,990,291538,350109,36396,0,36396,N/A,N/A,1
205732943,202312,990,207525,182904,66552,723,65829,N/A,N/A,1
205744699,202312,990,475651,446554,138754,385,138369,N/A,N/A,1
205751773,202309,990,451483,495126,514860,25966,488894,N/A,N/A,1
205763021,202312,990,267977,313734,5922863,20000,5902863,N/A,N/A,1
205764841,202312,990,920353,798089,546283,81915,464368,N/A,N/A,1
205773688,202312,990,533189,633305,562824,14768,548056,N/A,N/A,1
205779289,202312,990,1690209,1706868,1195104,2678,1192426,N/A,N/A,1
205805975,202312,990,420841,479364,69243,0,69243,N/A,N/A,1
205811361,202312,990,823416,768899,1405120,33133,1371987,N/A,N/A,1
205825497,202312,990,3611484,3347123,8087912,749015,7338897,N/A,N/A,1
205846705,202312,990,796098,589777,3456953,0,3456953,N/A,N/A,1
205858511,202312,990,965416,1027416,350,214158,-213808,N/A,N/A,1
205870286,202312,990,1828124,1377341,583353,2825,580528,N/A,N/A,1
205891453,202312,990,384127,548129,374721,0,374721,N/A,N/A,1
205891871,202310,990,3387310,3389262,276170,92012,184158,N/A,N/A,1
205924643,202312,990,317331,319563,121798,0,121798,N/A,N/A,1
205937655,202312,990-PF,355596,206850,257709,1,257708,N/A,N/A,1
205941786,202312,990,857127,787666,1526829,995335,531494,N/A,N/A,1
205958865,202312,990,771441,1328676,6457287,221197,6236090,N/A,N/A,1
205959696,202312,990,505446,403808,292572,-28872,321444,N/A,N/A,1
205964196,202312,990,339727,304791,1290079,500911,789168,N/A,N/A,1
205992723,202212,990,329694,414719,72832,-2520,75352,N/A,N/A,1
205994687,202312,990,527539,601266,129217,2304,126913,N/A,N/A,1
206321087,202312,990,1124779,640606,3442010,11838,3430172,N/A,N/A,1
208002489,202312,990,291706,137900,3371195,3066285,304910,N/A,N/A,1
208002744,202312,990,916174,427320,5408098,1364113,4043985,N/A,N/A,1
208003172,202312,990,926356,394788,2886707,545526,2341181,N/A,N/A,1
208006491,202306,990,546591,287179,990369,20771,969598,N/A,N/A,1
208010150,202312,990,1695519,1635520,213421,50625,162796,N/A,N/A,1
208020758,202312,990,560999,378401,2111338,0,2111338,N/A,N/A,1
208024537,202308,990,924515,643596,651338,48046,603292,N/A,N/A,1
208035010,202312,990,483882,480563,163701,21370,142331,N/A,N/A,1
208035033,202309,990,878297,660459,527142,7995,519147,N/A,N/A,1
208041715,202312,990,393795,368053,195669,30797,164872,N/A,N/A,1
208058036,202306,990,255966,272177,130749,26196,104553,N/A,N/A,1
208058952,202312,990,747524,776558,53456,297346,-243890,N/A,N/A,1
208061545,202312,990,447176,475334,61029,5014,56015,N/A,N/A,1
208063555,202312,990,2687131,2545442,2571561,0,2571561,N/A,N/A,1
208077535,202312,990,278253,386651,241121,8614,232507,N/A,N/A,1
208081145,202312,990,1505794,1419153,940023,609764,330259,N/A,N/A,1
208090711,202306,990,285313,237825,33795,257264,-223469,349209.5,276188.5,2
208094433,202312,990,1055725,1053428,29586,240117,-210531,N/A,N/A,1
208095219,202312,990,1670859,1430561,796262,0,796262,N/A,N/A,1
208102587,202312,990,343940,331982,214243,4241,210002,N/A,N/A,1
208122012,202312,990,384076,451491,275895,5274,270621,N/A,N/A,1
208124923,202312,990,674109,674467,53775,0,53775,N/A,N/A,1
208125876,202312,990,1850391,1994687,2217219,36581,2180638,N/A,N/A,1
208160825,202312,990,1011350,1287532,182431,9769,172662,N/A,N/A,1
208168209,202312,990,1406466,1125756,1938606,33203,1905403,N/A,N/A,1
208218751,202312,990,676675,666292,99594,24285,75309,N/A,N/A,1
208231560,202312,990,1262636,1398141,263947,7150,256797,N/A,N/A,1
208239246,202312,990,612051,628500,490190,243120,247070,N/A,N/A,1
208261976,202312,990,4639067,4716328,3404786,131156,3273630,N/A,N/A,1
208262430,202112,990,1774801,62598,1712203,0,1712203,N/A,N/A,1
208292629,202406,990,878193,698257,1241351,2195,1239156,N/A,N/A,1
208296408,202308,990,1810726,1430682,849384,65342,784042,N/A,N/A,1
208302906,202312,990,1595021,1564517,270182,6491,263691,N/A,N/A,1
208328266,202312,990,2416295,1664279,1737952,189499,1548453,N/A,N/A,1
208352757,202306,990,466056,511367,222606,0,222606,N/A,N/A,1
208370780,202312,990,304115,350799,25826,55963,-30137,306345.0,328316.5,2
208384273,202306,990,20675668,15722964,17225052,9592325,7632727,N/A,N/A,1
208389978,202312,990,331333,518756,1561453,374047,1187406,N/A,N/A,1
208402029,202312,990,292716,198567,568466,0,568466,N/A,N/A,1
208404220,202312,990,314224,5379,1783083,0,1783083,N/A,N/A,1
208416981,202308,990,506553,476038,300046,0,300046,N/A,N/A,1
208442359,202312,990,395203,399896,781521,504184,277337,N/A,N/A,1
208449705,202308,990,987374,906462,925652,100652,825000,N/A,N/A,1
208459746,202306,990,479979,561451,121201,6698,114503,N/A,N/A,1
208478369,202312,990,655638,98249,1016288,105100,911188,N/A,N/A,1
208494134,202312,990,747102,456898,1752989,18435,1734554,N/A,N/A,1
208505297,202312,990,660655,681316,206536,0,206536,N/A,N/A,1
208507603,202312,990,1390270,1462759,1789066,1178441,610625,N/A,N/A,1
208528638,202312,990,2130306,1926064,3295963,66374,3229589,N/A,N/A,1
208557411,202312,990,986,5247,150000,11384,138616,N/A,N/A,1
208565593,202312,990,440023,188354,867877,129160,738717,N/A,N/A,1
208599179,202312,990,298055,242587,133518,0,133518,N/A,N/A,1
208605603,202407,990,302096,297474,112383,0,112383,337538.5,323438.5,2
208615433,202312,990,543538,512477,698138,1125,697013,N/A,N/A,1
208619786,202312,990,368754,395192,59282,48151,11131,N/A,N/A,1
208643063,202312,990,1095981,1174111,3407422,19792,3387630,N/A,N/A,1
208650546,202312,990,605226,422326,902660,106794,795866,N/A,N/A,1
208651212,202312,990,260921,243903,107966,0,107966,N/A,N/A,1
208651367,202312,990,523653,560600,312644,1213,311431,N/A,N/A,1
208674232,202312,990,511205,352218,1116806,0,1116806,N/A,N/A,1
208689095,202312,990,1194375,1185897,3831711,5142,3826569,N/A,N/A,1
208690051,202306,990,7008709,6633397,4195753,2451984,1743769,N/A,N/A,1
208721721,202312,990,1624996,1586066,1388605,0,1388605,N/A,N/A,1
208722750,202312,990,333928,331531,173842,0,173842,N/A,N/A,1
208742072,202312,990,414458,378217,103494,1873,101621,N/A,N/A,1
208765183,202312,990,404971,448490,290364,16951,273413,N/A,N/A,1
208791712,202312,990,281574,336265,24550,0,24550,N/A,N/A,1
208796367,202312,990,389469,425542,194564,63950,130614,N/A,N/A,1
208815693,202312,990,273367,255562,94034,0,94034,N/A,N/A,1
208825983,202306,990,12090901,14655492,12902105,2661316,10240789,N/A,N/A,1
208835282,202312,990,1037128,139225,1517534,164244,1353290,N/A,N/A,1
208848426,202306,990,1719306,1758419,1080621,204891,875730,N/A,N/A,1
208849736,202312,990,413232,415255,164913,11596,153317,N/A,N/A,1
208876560,202307,990,617413,534482,264242,103743,160499,N/A,N/A,1
208881293,202312,990,351831,335073,283363,27985,255378,N/A,N/A,1
208903045,202312,990,263198,163305,167209,0,167209,N/A,N/A,1
208905566,202312,990,5558749,3986470,9479384,3177232,6302152,N/A,N/A,1
208926437,202312,990,430636,102944,376921,93,376828,N/A,N/A,1
208932458,202312,990,367495,368234,49358,481,48877,N/A,N/A,1
208956069,202312,990,648913,536761,7992246,0,7992246,N/A,N/A,1
208958283,202312,990,471293,446040,577288,1114,576174,N/A,N/A,1
208973283,202312,990,1383761,1385168,610782,9059,601723,N/A,N/A,1
208974063,202312,990,874101,429069,7459096,0,7459096,N/A,N/A,1
208976689,202312,990,628269,44020,1850208,0,1850208,N/A,N/A,1
210634584,202306,990,274830004,261711486,440888728,47500778,393387950,N/A,N/A,1
210634981,202306,990,58760311,68281870,119755993,35862776,83893217,N/A,N/A,1
210637383,202309,990,1494961,1492321,1667482,1616037,51445,N/A,N/A,1
210644450,202306,990,1259163,1288181,339293,1099928,-760635,N/A,N/A,1
210650678,202306,990,196010794,218953226,247078205,161800431,85277774,N/A,N/A,1
210715335,202312,990,6861319,5582639,10820124,1946830,8873294,N/A,N/A,1
210738420,202312,990,1432644,2036450,13140324,97783,13042541,N/A,N/A,1
216001415,202308,990,7588736,7499479,2895311,1641404,1253907,N/A,N/A,1
221487164,202306,990,112171400,130091459,233007198,90900526,142106672,N/A,N/A,1
221487322,202312,990,560855952,552986664,492479419,191298690,301180729,N/A,N/A,1
221494428,202306,990,56565962,56523991,92412562,32870136,59542426,N/A,N/A,1
221494434,202306,990,275176420,308552689,414620511,156195903,258424608,N/A,N/A,1
221500483,202306,990,76625899,77525720,60028155,29325675,30702480,N/A,N/A,1
221500484,202306,990,51881982,56531265,28189563,41169203,-12979640,N/A,N/A,1
221508627,202306,990,116646712,121929847,177499871,89791852,87708019,N/A,N/A,1
221529785,202306,990,40619565,43572263,68915503,28266338,40649165,N/A,N/A,1
221616250,202309,990,4915762,4875925,2793060,248234,2544826,N/A,N/A,1
221841274,202306,990,4313414,3616332,3279474,1206733,2072741,N/A,N/A,1
221912028,202306,990,81691778,85503550,95461155,35323246,60137909,N/A,N/A,1
222212290,202306,990,1702771,1833321,27977794,1020254,26957540,N/A,N/A,1
222228854,202312,990,682737,648128,543192,83219,459973,N/A,N/A,1
222284197,202409,990,862447,866008,8857,215,8642,893580.0,897359.5,2
222307889,202312,990,160760,259013,1132939,347,1132592,N/A,N/A,1
222338033,202406,990,1527347,3660452,1153438,1236534,-83096,N/A,N/A,1
222396744,202312,990,1039138,586427,1014958,682658,332300,N/A,N/A,1
222405221,202403,990,577772,419838,1028462,84722,943740,440628.0,500702.0,2
222437121,202406,990,4954267,4299375,6595668,106268,6489400,N/A,N/A,1
222472997,202309,990,367295141,317198182,322843764,181784196,141059568,N/A,N/A,1
222485466,202312,990,221652,292792,1147899,33207,1114692,N/A,N/A,1
222505101,202306,990,607725,621271,679756,18205,661551,N/A,N/A,1
222525050,202212,990,1041841,854864,2491042,1044581,1446461,N/A,N/A,1
222546365,202312,990,2750092,2769147,862664,312135,550529,N/A,N/A,1
222560682,202312,990,631532,582840,6456764,0,6456764,N/A,N/A,1
222582877,202310,990,2887806,3843314,39336236,211360,39124876,N/A,N/A,1
222586208,202306,990,43593989,40887202,78629716,23652323,54977393,N/A,N/A,1
222587484,202312,990-PF,311495,339850,3833734,1,3833733,N/A,N/A,1
222714023,202312,990,5912789,3011318,171964221,96717361,75246860,N/A,N/A,1
222764774,202312,990,522518,146906,1639136,0,1639136,N/A,N/A,1
222876229,202308,990,464886,427445,699502,101495,598007,N/A,N/A,1
222936068,202312,990,1903164,1451698,3441508,28061,3413447,N/A,N/A,1
222996411,202312,990,534924,458204,1556960,967158,589802,N/A,N/A,1
222996968,202312,990,564324,496117,2018844,13318,2005526,N/A,N/A,1
223030025,202312,990,1331098,602870,13551734,177511,13374223,N/A,N/A,1
223031717,202212,990,732847,534828,1628755,30137,1598618,669821.0,500860.0,2
223032456,202309,990,22545918,13423704,125299048,13386060,111912988,N/A,N/A,1
223058493,202312,990,2416147,2047574,7117604,145268,6972336,N/A,N/A,1
223102304,202312,990,436332,430941,352269,0,352269,N/A,N/A,1
223124387,202312,990,283152,174735,1001800,77,1001723,N/A,N/A,1
223128323,202312,990,848880,975502,342763,0,342763,N/A,N/A,1
223131470,202312,990,1970137,3321922,1118168,8176809,-7058641,N/A,N/A,1
223134995,202312,990,6205701,4777530,12543411,292633,12250778,N/A,N/A,1
223135464,202312,990,1643045,1433998,1625710,20259,1605451,1708459.0,1226528.0,2
223137545,202312,990,1561906,1886032,5078849,673677,4405172,N/A,N/A,1
223164588,202312,990,404930,377702,1839971,14888,1825083,N/A,N/A,1
223187063,202312,990,343918,360522,597790,0,597790,N/A,N/A,1
223199801,202312,990,1324134,907578,6396918,269669,6127249,N/A,N/A,1
223245314,202312,990,417613,349396,1062956,23339,1039617,N/A,N/A,1
223249506,202308,990,8839461,6893336,6974972,1746428,5228544,N/A,N/A,1
223297123,202312,990,3806472,3736191,1002543,3617,998926,N/A,N/A,1
223335025,202312,990,608719,690871,3441526,1794893,1646633,597799.67,709820.67,3
223356848,202306,990,312500,413949,669834,94246,575588,N/A,N/A,1
223377014,202312,990,854132,488488,7373697,1196667,6177030,N/A,N/A,1
223408456,202312,990,21246769,21935137,11347419,10059552,1287867,N/A,N/A,1
223409164,202312,990,630039,593828,470310,496721,-26411,N/A,N/A,1
223412504,202312,990,7802244,7652817,44479552,41301227,3178325,N/A,N/A,1
223417755,202406,990,257686,384061,8886451,150568,8735883,N/A,N/A,1
223426417,202306,990,203127,194040,201612,233528,-31916,N/A,N/A,1
223439175,202306,990,4910373,4398361,1707877,739417,968460,N/A,N/A,1
223444321,202312,990,580333,625353,269421,69484,199937,N/A,N/A,1
223487209,202312,990,1520445,1689624,393059,148160,244899,N/A,N/A,1
223491493,202312,990,961276,943241,92772,0,92772,N/A,N/A,1
223495873,202312,990,1932899,1893996,2113666,46663,2067003,N/A,N/A,1
223514050,202308,990,3857438,4243110,9883236,2088413,7794823,N/A,N/A,1
223523224,202312,990,932425,946745,23966,0,23966,N/A,N/A,1
223537576,202312,990,316298,308900,201973,167455,34518,N/A,N/A,1
223556851,202312,990,590706,187696,5249327,1600503,3648824,1127861.0,280502.5,2
223561909,202306,990,496896,439388,1535881,374952,1160929,N/A,N/A,1
223589309,202312,990,301191,217550,605270,170798,434472,N/A,N/A,1
223629432,202312,990,333226,309143,1115499,389066,726433,N/A,N/A,1
223636392,202312,990,1860190,1710822,4047209,1641013,2406196,N/A,N/A,1
223652434,202309,990,2407226,1726401,37664823,0,37664823,N/A,N/A,1
223665609,202312,990,2070134,2262036,4507480,1897110,2610370,N/A,N/A,1
223669033,202312,990,1619977,751202,2851020,914000,1937020,N/A,N/A,1
223680721,202312,990,1148823,787759,2166387,120323,2046064,N/A,N/A,1
223692108,202212,990,1139725,400838,21516234,0,21516234,N/A,N/A,1
223710868,202312,990,784719,755649,680770,8145,672625,N/A,N/A,1
223715488,202312,990,1316031,1134059,3487771,256424,3231347,N/A,N/A,1
223737456,202312,990,591575,135357,4770964,0,4770964,N/A,N/A,1
223748083,202310,990,1243219,1014628,3491237,902403,2588834,N/A,N/A,1
223773239,202312,990,475697,548339,867252,168875,698377,N/A,N/A,1
223777790,202312,990,1615120,1586868,520937,12932,508005,N/A,N/A,1
223804152,202312,990,9925362,7783160,7086157,3641817,3444340,7583812.5,6501071.5,2
223834440,202306,990,7459043,8701914,11923407,6929057,4994350,N/A,N/A,1
223841115,202308,990,656188,626225,290495,122864,167631,N/A,N/A,1
223864296,202312,990,773112,1372698,859886,0,859886,N/A,N/A,1
223864550,202312,990,603810,573308,186975,7678,179297,N/A,N/A,1
223874558,202406,990,331639,336980,36340,923,35417,317812.0,337751.0,2
223877546,202312,990,427905,401473,52740,4556,48184,N/A,N/A,1
223882768,202312,990,452794,174834,7525748,3182303,4343445,N/A,N/A,1
226017975,202306,990,9357980,8830341,22983302,3611994,19371308,N/A,N/A,1
226062765,202312,990,4106583,2532789,3587457,96026,3491431,N/A,N/A,1
226063412,202406,990,2584384,2517719,4020873,1095693,2925180,N/A,N/A,1
226830873,202312,990,2901436,2826890,3078283,204272,2874011,N/A,N/A,1
227229934,202406,990,3942975,3048852,39143243,406886,38736357,N/A,N/A,1
230891430,202403,990,7186460,7598488,7213431,3220525,3992906,N/A,N/A,1
230973290,202306,990,33531394,33907853,52830929,14637927,38193002,N/A,N/A,1
231177930,202306,990,124436430,133289958,323599498,78578169,245021329,N/A,N/A,1
231178880,202306,990,23193972,18866734,43710785,10619090,33091695,N/A,N/A,1
231352008,202312,990,36432433,46592108,89365690,23829189,65536501,N/A,N/A,1
231352118,202306,990,71186887,71454846,81057647,24430806,56626841,N/A,N/A,1
231352120,202404,990,1368305,1269323,1495010,116366,1378644,N/A,N/A,1
231352202,202306,990,147519629,143580589,139616125,101059405,38556720,N/A,N/A,1
231352204,202306,990,1383023429,1209551696,1004570287,1626785095,-622214808,N/A,N/A,1
231352213,202306,990,1425438151,1410835435,3343606721,2419342925,924263796,N/A,N/A,1
231352236,202306,990,28894366,25882668,93551991,12792884,80759107,N/A,N/A,1
231352255,202308,990,2895792,2965780,14511502,1120620,13390882,N/A,N/A,1
231352256,202406,990,17523271,21217409,124275596,32802393,91473203,17489308.0,21561331.5,2
231352354,202306,990,111497846,113043395,254714758,61493172,193221586,N/A,N/A,1
231352613,202306,990,71964000,70101000,134052000,33045000,101007000,N/A,N/A,1
231352615,202305,990,61056362,81114995,195952352,105191247,90761105,N/A,N/A,1
231352620,202305,990,155375000,161533000,238015000,97177000,140838000,N/A,N/A,1
231352621,202305,990,241836662,194965091,1532694711,142154863,1390539848,N/A,N/A,1
231352626,202306,990,64229295,53678730,90639308,34608875,56030433,N/A,N/A,1
231352632,202306,990,93113814,107282908,224422276,83874273,140548003,N/A,N/A,1
231352635,202306,990,186951178,189940277,822891438,199969233,622922205,N/A,N/A,1
231352641,202305,990,221825443,215527551,624742107,116594931,508147176,N/A,N/A,1
231352642,202308,990,4253374,4275062,9125190,1803780,7321410,N/A,N/A,1
231352648,202306,990,51996541,51843905,87633205,46160878,41472327,N/A,N/A,1
231352652,202305,990,94687583,98401692,244031920,89007687,155024233,N/A,N/A,1
231352654,202305,990,127433788,140650080,247243605,153891620,93351985,N/A,N/A,1
231352655,202306,990,60260792,72840984,305378364,38284513,267093851,N/A,N/A,1
231352661,202306,990,144399121,148812684,310845655,87690448,223155207,N/A,N/A,1
231352664,202306,990,150243432,160599197,554289289,83885490,470403799,N/A,N/A,1
231352665,202306,990,96502047,98956037,114159276,45875951,68283325,N/A,N/A,1
231352683,202306,990,270668198,270462806,3463772000,441510000,3022262000,N/A,N/A,1
231352691,202406,990,22394054,15486428,258182166,2556417,255625749,N/A,N/A,1
231352692,202306,990,39140303,34387229,130693412,36111536,94581876,N/A,N/A,1
231352698,202306,990,140611228,140304997,549468203,108701912,440766291,N/A,N/A,1
231353385,202306,990,155751650,170872979,350578199,56513377,294064822,N/A,N/A,1
231365953,202306,990,52349708,52388180,106461474,24029981,82431493,N/A,N/A,1
231365954,202306,990,221585875,200730120,873419056,158180979,715238077,N/A,N/A,1
231365966,202306,990,21122100,22705403,63313774,33703842,29609932,N/A,N/A,1
231386178,202306,990,243550358,246272053,416458447,167156735,249301712,N/A,N/A,1
231401559,202308,990,5111330,5472941,2543353,42609,2500744,N/A,N/A,1
231409675,202306,990,107410426,98278120,112241845,32042857,80198988,N/A,N/A,1
231409702,202312,990,474000,720510,1114565,20804,1093761,N/A,N/A,1
231429852,202312,990,2486004,1539501,6300303,8293,6292010,N/A,N/A,1
231433899,202306,990,41435980,41340491,436180690,47539787,388640903,N/A,N/A,1
231465406,202306,990,1255046,1322239,3833573,74467,3759106,N/A,N/A,1
231484178,202306,990,45660850,47286382,93846492,36388312,57458180,N/A,N/A,1
231494807,202309,990,625711,629083,1236120,233941,1002179,N/A,N/A,1
231501197,202306,990,83669672,78563023,135503882,40916594,94587288,N/A,N/A,1
231501815,202306,990,5092949,4397986,4497248,3074121,1423127,N/A,N/A,1
231504141,202306,990,6459274,5970314,8646236,941748,7704488,N/A,N/A,1
231517015,202312,990,804644,577336,572695,0,572695,N/A,N/A,1
231522643,202306,990,110643942,104747650,219365146,107305185,112059961,N/A,N/A,1
231543518,202306,990,13264190,10953463,10725186,457830,10267356,N/A,N/A,1
231548319,202312,990,208566,216961,636312,18526,617786,N/A,N/A,1
231566737,202403,990,795191,802146,245426,5475,239951,N/A,N/A,1
231585611,202305,990,43513793,30874759,369843342,3557503,366285839,N/A,N/A,1
231608264,202306,990,11180057,10628050,20139335,4327728,15811607,N/A,N/A,1
231627436,202306,990,17189414,21010653,38047512,9579068,28468444,N/A,N/A,1
231642485,202312,990,1294810,628369,3433833,7858,3425975,N/A,N/A,1
231653718,202306,990,129548696,133300687,246330370,65621282,180709088,N/A,N/A,1
231657958,202306,990,70882160,83311938,141771196,58902942,82868254,N/A,N/A,1
231672774,202403,990,1792820,1540114,2399858,629641,1770217,N/A,N/A,1
231683475,202312,990,4538494,4616293,11019019,2294101,8724918,N/A,N/A,1
231687846,202312,990,608449,714305,691481,0,691481,N/A,N/A,1
231740834,202309,990,520259,410439,786105,127301,658804,N/A,N/A,1
231887607,202312,990,1412030,1423418,4287385,1374001,2913384,N/A,N/A,1
231897941,202308,990,2054264,1632180,8698392,2826181,5872211,N/A,N/A,1
231937954,202306,990,2541225,3345451,5785931,1432322,4353609,N/A,N/A,1
232000688,202306,990,451557,461585,183572,176997,6575,N/A,N/A,1
232006147,202312,990,425872,409816,2336694,708341,1628353,N/A,N/A,1
232020474,202312,990,1033177,1141482,3970333,137298,3833035,N/A,N/A,1
232025493,202312,990,1417380,1465623,5184687,181,5184506,N/A,N/A,1
232062334,202312,990,3681968,3664899,3428110,7100,3421010,N/A,N/A,1
232070710,202312,990,9693317,7918288,15170243,2227187,12943056,N/A,N/A,1
232081703,202307,990,2517251,2019419,1707015,268687,1438328,N/A,N/A,1
232091550,202312,990,822882,863648,253734,0,253734,N/A,N/A,1
232150107,202312,990,353503,343287,1984068,0,1984068,N/A,N/A,1
232215278,202306,990,10177505,11296306,16979996,6206329,10773667,N/A,N/A,1
232216297,202312,990,847773,794801,2498442,137538,2360904,N/A,N/A,1
232239864,202312,990,1281158,1166791,2751885,308282,2443603,N/A,N/A,1
232269420,202308,990,2785655,2692048,15276021,266769,15009252,N/A,N/A,1
232316606,202312,990,433411,411145,6070614,1481,6069133,N/A,N/A,1
232473518,202308,990,1729387,1475710,2054542,245288,1809254,N/A,N/A,1
